,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.7,0.4,19.4%,73.6%,7.0%,125.2
1,2,Phantom,7.6,0.1,18.0%,74.3%,7.7%,122.1
2,3,Operator,3.2,0,10.0%,86.0%,4.0%,146.5
3,4,Spectre,2.8,0.1,15.7%,75.2%,9.1%,93.6
4,5,Ghost,2.6,0,23.2%,71.7%,5.1%,86.9
5,6,Odin,2.4,1.6,11.2%,70.7%,18.1%,111
6,7,Stinger,2,0.1,15.4%,73.9%,10.8%,96.5
7,8,Judge,1.7,0,13.7%,73.9%,12.4%,99.2
8,9,Frenzy,1.7,0,19.2%,74.6%,6.1%,82.3
9,10,Classic,1.6,0.7,19.8%,74.2%,6.0%,78.2
10,11,Sheriff,1.4,0,25.3%,70.5%,4.3%,106.8
11,12,Bucky,1.3,0.8,14.3%,74.3%,11.4%,92.1
12,13,Bulldog,1.2,0.3,16.7%,75.2%,8.0%,104.7
13,14,Guardian,1.2,0.3,25.6%,69.9%,4.6%,139.3
14,15,Ares,1.1,0.7,9.2%,71.0%,19.8%,93.3
15,16,Marshal,1,0,19.2%,76.9%,3.8%,119.1
16,17,Shorty,0.6,0,15.0%,74.2%,10.8%,82.2
