,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.2,0.3,20.4%,72.8%,6.8%,125.6
1,2,Phantom,7.7,0.1,19.0%,73.8%,7.2%,122.1
2,3,Operator,3.4,0,9.6%,86.1%,4.3%,145.7
3,4,Spectre,2.9,0,16.7%,74.5%,8.8%,93.3
4,5,Ghost,2.6,0,24.3%,70.8%,5.0%,87.8
5,6,Odin,2.2,1.5,11.6%,71.2%,17.2%,108.9
6,7,Stinger,2,0.1,16.1%,73.6%,10.2%,97.1
7,8,Frenzy,1.8,0,20.3%,74.0%,5.7%,82.6
8,9,Judge,1.7,0,13.4%,74.7%,11.9%,98.8
9,10,Classic,1.6,0.7,20.4%,73.7%,5.9%,79.2
10,11,Sheriff,1.5,0,26.9%,69.1%,4.0%,108.3
11,12,Bucky,1.3,0.8,14.5%,74.2%,11.3%,92
12,13,Guardian,1.3,0.3,26.6%,69.3%,4.1%,139.6
13,14,Ares,1.2,0.8,9.5%,71.3%,19.2%,92.3
14,15,Bulldog,1.2,0.3,18.0%,74.1%,7.9%,104.2
15,16,Marshal,0.9,0,20.7%,75.2%,4.1%,121.8
16,17,Shorty,0.6,0,15.7%,73.6%,10.7%,84.5
